Dim,Sparsity,convertMmcc,mmccConvert
1100.0,0.5,5.150000000000091,5.159999999999855
1100.0,0.6,6.319999999999938,2.7699999999999823
1100.0,0.699998347107438,5.319999999999937,3.0
1100.0,0.8,6.5,3.7699999999999823
1100.0,0.9,5.600000000000364,3.869999999999891
1200.0,0.1,7.099999999998545,1.900000000000091
1200.0,0.2,7.6599999999998545,2.5300000000002
1200.0,0.3,8.600000000000364,2.650000000000091
1200.0,0.4,6.469999999999343,6.350000000000364
1200.0,0.5,8.080000000001746,2.6399999999998727
1200.0,0.6,8.010000000000218,3.049999999999727
1200.0,0.6999986111111111,7.539999999997235,1.8200000000001642
1200.0,0.8,8.850000000002181,2.9400000000000546
1200.0,0.9,5.8000000000010905,3.2600000000002183
1300.0,0.1,7.960000000000948,4.940000000000055
1300.0,0.2,7.610000000000127,3.4299999999998363
1300.0,0.3,8.139999999999418,3.5299999999997453
1300.0,0.4,8.699999999998909,2.6299999999996544
1300.0,0.5,7.270000000000437,2.949999999999818
1300.0,0.6,5.599999999999909,3.9200000000000728
1300.0,0.6999988165680473,7.780000000000657,3.4899999999997817
1300.0,0.8,8.730000000000018,3.8299999999999272
1300.0,0.9,6.539999999999052,3.4600000000000364
1400.0,0.1,8.890000000000327,3.469999999999345
1400.0,0.2,8.590000000000147,3.909999999999856
1400.0,0.3,7.319999999999709,3.710000000000037
1400.0,0.4,9.219999999999343,3.1899999999996003
1400.0,0.5,7.479999999999562,3.8300000000008367
1400.0,0.6,7.2100000000000355,3.2200000000002547
1400.0,0.6999989795918368,8.229999999999562,4.760000000000217
1400.0,0.8,8.4399999999996,3.5700000000006185
1400.0,0.9,8.240000000001599,4.1899999999996
1500.0,0.1,10.169999999998254,4.509999999999991
1500.0,0.2,9.159999999999851,3.2100000000000364
1500.0,0.3,9.139999999999874,4.860000000000127
1500.0,0.4,10.0,4.730000000000018
1500.0,0.5,9.360000000000126,4.089999999999918
1500.0,0.6,7.309999999999945,5.740000000000008
1500.0,0.6999991111111111,9.6899999999996,3.7300000000000177
1500.0,0.8,10.059999999999489,3.8799999999998818
1500.0,0.9,10.159999999999851,4.529999999999973
1600.0,0.1,11.3799999999992,5.419999999999845
1600.0,0.2,9.039999999999054,4.009999999999991
1600.0,0.3,10.680000000000293,4.339999999999918
1600.0,0.4,8.829999999999927,4.230000000000018
1600.0,0.5,10.940000000000513,5.0
1600.0,0.6,11.25,4.369999999999891
1600.0,0.69999921875,10.760000000000217,4.099999999999909
1600.0,0.8,9.990000000000009,3.5399999999999636
1600.0,0.9,9.989999999999783,4.129999999999882
1700.0,0.1,10.8799999999992,5.069999999999709
1700.0,0.2,12.949999999999818,5.3400000000001455
1700.0,0.3,11.050000000001091,3.8599999999996726
1700.0,0.4,11.030000000002477,3.8400000000001455
1700.0,0.5,11.050000000001091,4.430000000000291
1700.0,0.6,10.100000000000364,4.75
1700.0,0.6999993079584775,9.170000000001894,7.670000000000073
1700.0,0.8,10.480000000000473,5.0799999999999255
1700.0,0.9,10.719999999999343,4.539999999999964
1800.0,0.1,11.600000000000366,7.029999999999973
1800.0,0.2,10.179999999999383,6.269999999999982
1800.0,0.3,11.569999999999707,5.32000000000005
1800.0,0.4,11.170000000000016,5.909999999999968
1800.0,0.5,10.690000000000511,5.5
1800.0,0.6,11.379999999999995,5.440000000000055
1800.0,0.6999993827160493,12.309999999999487,5.559999999999945
1800.0,0.8,11.050000000001091,4.740000000000009
1800.0,0.9,12.509999999999307,5.180000000000007
1900.0,0.1,13.88000000000102,6.6899999999996
1900.0,0.2,14.100000000000366,6.8100000000004
1900.0,0.3,12.200000000000728,6.1099999999996735
1900.0,0.4,12.539999999997235,5.869999999999893
1900.0,0.5,12.61999999999898,7.170000000000073
1900.0,0.6,15.340000000000146,5.899999999999636
1900.0,0.6999994459833795,13.009999999998401,6.329999999999927
1900.0,0.8,13.470000000001164,6.930000000000291
1900.0,0.9,16.209999999999127,6.400000000000546
2000.0,0.1,13.86999999999989,7.270000000000437
2000.0,0.2,14.829999999999929,6.430000000000291
2000.0,0.3,13.38000000000011,7.350000000000364
2000.0,0.4,14.319999999999707,8.709999999999127
2000.0,0.5,13.360000000000582,7.1899999999996
2000.0,0.6,14.64000000000033,7.949999999999817
2000.0,0.6999995,14.590000000000146,6.6099999999996735
2000.0,0.8,15.139999999999418,7.470000000000255
2000.0,0.9,15.660000000000766,7.199999999999817
2100.0,0.1,14.319999999999707,7.5
2100.0,0.2,17.329999999999927,7.980000000000018
2100.0,0.3,15.299999999999272,8.420000000000073
2100.0,0.4,15.779999999998836,7.369999999999893
2100.0,0.5,15.599999999998545,6.849999999999909
2100.0,0.6,16.33999999999969,7.620000000000346
2100.0,0.6999995464852607,16.110000000000582,9.179999999999836
2100.0,0.8,16.6299999999992,7.829999999999927
2100.0,0.9,13.840000000000146,8.680000000000064
2200.0,0.1,17.519999999999982,7.650000000000091
2200.0,0.2,18.100000000000364,7.0399999999999645
2200.0,0.3,18.840000000000146,10.949999999999818
2200.0,0.4,16.2400000000016,10.389999999999874
2200.0,0.5,17.229999999999563,9.5
2200.0,0.6,16.300000000000182,8.359999999999673
2200.0,0.6999995867768595,16.549999999999272,9.670000000000073
2200.0,0.8,15.629999999999654,8.920000000000073
2200.0,0.9,16.980000000000018,8.5300000000002
2300.0,0.1,18.3700000000008,8.819999999999709
2300.0,0.2,20.02000000000044,10.4399999999996
2300.0,0.3,20.229999999999567,10.350000000000364
2300.0,0.4,19.180000000000287,9.039999999999964
2300.0,0.5,18.319999999999713,8.170000000000073
2300.0,0.6,17.909999999999854,9.5600000000004
2300.0,0.6999996219281663,19.049999999999272,8.640000000000327
2300.0,0.8,18.170000000000073,9.930000000000293
2300.0,0.9,19.430000000000287,8.849999999999453
2400.0,0.1,18.670000000000073,10.730000000000018
2400.0,0.2,19.569999999999713,9.86999999999989
2400.0,0.3,21.06000000000131,11.659999999999854
2400.0,0.4,22.1299999999992,10.960000000000038
2400.0,0.5,19.51000000000022,10.209999999999582
2400.0,0.6,21.25,9.309999999999944
2400.0,0.6999996527777778,23.19000000000005,9.940000000000056
2400.0,0.8,21.070000000001528,9.75
2400.0,0.9,19.969999999999345,8.900000000000091
2500.0,0.1,22.07000000000062,11.049999999999272
2500.0,0.2,23.459999999999127,10.139999999999418
2500.0,0.3,23.420000000000076,10.25
2500.0,0.4,21.849999999999447,11.520000000000437
2500.0,0.5,20.700000000000728,10.849999999999454
2500.0,0.6,23.25,11.239999999999783
2500.0,0.69999968,20.04000000000088,9.319999999999707
2500.0,0.8,20.649999999997817,9.75
2500.0,0.9,20.640000000000327,14.229999999999563
2600.0,0.1,21.610000000000586,11.089999999999918
2600.0,0.2,22.69999999999981,10.519999999999982
2600.0,0.3,22.53000000000009,11.19999999999993
2600.0,0.4,22.369999999998974,11.169999999999963
2600.0,0.5,20.949999999999818,10.289999999999964
2600.0,0.6,20.069999999999933,10.96000000000015
2600.0,0.6999997041420118,22.390000000000327,11.379999999999995
2600.0,0.8,21.929999999999946,12.090000000000035
2600.0,0.9,21.890000000000327,11.419999999999964
2700.0,0.1,23.36000000000001,10.060000000000002
2700.0,0.2,23.289999999999967,12.060000000000002
2700.0,0.3,24.089999999999236,11.740000000000007
2700.0,0.4,25.71999999999934,15.670000000000002
2700.0,0.5,25.48999999999978,14.629999999999995
2700.0,0.6,24.079999999999984,11.810000000000002
2700.0,0.6999997256515775,22.5600000000004,10.230000000000018
2700.0,0.8,24.350000000000023,12.589999999999973
2700.0,0.9,25.090000000000003,12.34
2800.0,0.1,25.31999999999971,12.519999999999527
2800.0,0.2,26.29999999999927,12.260000000000215
2800.0,0.3,24.8100000000004,12.389999999999418
2800.0,0.4,26.020000000000444,15.599999999999454
2800.0,0.5,24.29999999999927,13.050000000000182
2800.0,0.6,30.590000000000142,12.85999999999967
2800.0,0.6999997448979591,25.98999999999978,12.850000000000366
2800.0,0.8,25.359999999996944,13.929999999999385
2800.0,0.9,25.31999999999971,12.89000000000033
2900.0,0.1,27.019999999999985,13.079999999999929
2900.0,0.2,27.209999999999127,13.480000000000016
2900.0,0.3,27.470000000000034,14.230000000000016
2900.0,0.4,27.0,13.299999999999955
2900.0,0.5,26.539999999999967,12.460000000000036
2900.0,0.6,27.210000000000036,15.179999999999836
2900.0,0.6999997621878716,26.839999999998327,15.559999999999945
2900.0,0.8,29.8799999999992,12.190000000000055
2900.0,0.9,24.470000000000248,13.929999999999836
3000.0,0.1,28.93000000000029,14.420000000000071
3000.0,0.2,29.279999999998847,14.740000000000231
3000.0,0.3,29.53999999999905,14.36999999999989
3000.0,0.4,29.170000000000076,14.449999999999818
3000.0,0.5,27.829999999999927,15.180000000000293
3000.0,0.6,28.49000000000024,14.779999999999745
3000.0,0.6999997777777778,29.310000000001306,14.329999999999929
3000.0,0.8,29.920000000000076,14.25
3000.0,0.9,27.939999999998694,13.960000000000036
