Dim,Sparsity,denseMatrixDotMatrix,denseMatrixDotVector,denseMatrixDotVectorFlattened,inversionTimeDense,inversionTimeDenseToSparse,inversionTimeSparse,inversionTimeSparseCSC,inversionTimeSparseToDense,inversionTimeToDenseSplit,sparseMatrixDotMatrix,sparseMatrixDotVectorWithScipySparse,sparseSubsetFI,sparseSubsetIX
300.0,0.4,0.008053999999994229,0.00022200000000083262,0.00016100000357255342,0.016370000012102537,0.06279100000392646,1.6534839999803808,0.6708700000017416,0.6757310000248253,0.6764770000008866,0.09787699999287723,0.0003260000084992498,0.006797999987611547,0.00994999999999635
300.0,0.5,0.008029999997233972,0.00022599999999783907,0.00015300000086426735,0.016478000005008653,0.06265499998698942,1.875553999999994,0.6734209999995073,0.6772469999996247,0.6756029999814928,0.0712340000027325,0.0002930000191554426,0.006588999996893108,0.023893999999998528
300.0,0.6,0.008847000004607253,0.0002229999954579398,0.00016000002506189048,0.017220000008819625,0.06270799999765586,2.141571999993176,1.6292989999928975,1.6357500000158325,1.6359260000172071,0.11963800000376068,0.0006410000205505638,0.015153000014834106,0.009470999999997787
300.0,0.6999777777777778,0.008257999999997878,0.0002169999999992456,0.00014700001338496804,0.016411999997217208,0.06275599999935366,1.6721130000078115,0.6737779999966733,0.6774609999847598,0.6788959999976214,0.03191299999889452,0.00021600000036414718,0.006105000007664785,0.008876000000000772
300.0,0.8,0.018528000000515014,3.900000592693687e-05,3.300000000194814e-05,0.018098999999999414,0.0614619999999988,1.6770459999970626,0.7015680000000017,0.7076339999999988,0.7065829999999949,0.0191119999999998,0.0001850000000018781,0.005913999999997088,0.008190999999996507
300.0,0.9,0.008047000010265037,0.00022200000239536166,0.00016200001118704677,0.01656300001195632,0.06277499999850987,1.5964040000108068,0.6917260000000027,0.9604770000150892,0.6941379999916535,0.01061499999195803,0.00013800000306218865,0.005724000016925857,0.004522999999991839
400.0,0.1,0.018115999999992027,0.0003020000000049094,0.0002889999999808879,0.03600099999999884,0.11782700000000546,3.1344449999999995,1.2794590000000028,1.0387780000000078,1.0355679999999836,0.4847100000000069,0.0007499999999822649,0.0090110000000152,0.015209999999996171
400.0,0.2,0.018429999996442348,0.0002920000000017353,0.00029900000001248367,0.03469900001073256,0.11585899998317473,1.941376000002492,1.0295130000000086,1.6696139999839943,1.032418999999976,0.3872090000000128,0.0008319999906234442,0.009107000005315058,0.015557999999998628
400.0,0.3,0.02046600000176113,0.0003029999934369698,0.0003429999924264848,0.03475799999432638,0.11629700000048615,1.9370880000060424,1.0145710000069812,1.0138589999987744,1.0129009999800471,0.2996419999981299,0.0005919999999832728,0.008332999999993262,0.015477000000004182
400.0,0.4,0.019415000000009286,0.00030100000000743416,0.0003009999999790125,0.03477199999906588,0.11558599999989384,1.94468099999358,1.0307280000000103,1.0416919999999834,1.01432700001169,0.2251689999975497,0.0005300000193528831,0.00795800000000213,0.015502999999995382
